50 10
15 17 17
15 18 25
15 19 24
15 20 26
15 21 25
15 22 18
15 23 22
15 24 26
15 25 22
15 26 20
15 27 25
15 28 21
15 29 22
15 30 27
15 31 24
15 32 23
15 33 26
15 34 26
15 35 23
15 36 22
15 37 23
15 38 23
15 39 19
15 40 22
15 41 21
15 42 23
15 43 20
15 44 22
15 45 23
15 46 23
15 47 23
15 48 20
15 49 19
16 17 19
16 18 18
16 19 20
16 20 17
16 21 25
16 22 19
16 23 20
16 24 26
16 25 20
16 26 19
16 27 29
16 28 19
16 29 18
16 30 24
16 31 20
16 32 23
16 33 26
16 34 25
16 35 20
16 36 19
16 37 23
16 38 18
16 39 26
16 40 18
16 41 19
16 42 14
16 43 22
16 44 17
16 45 21
16 46 23
16 47 19
16 48 16
16 49 15
17 18 24
17 19 23
17 20 24
17 21 24
17 22 21
17 23 21
17 24 26
17 25 22
17 26 21
17 27 26
17 28 21
17 29 20
17 30 24
17 31 21
17 32 20
17 33 26
17 34 25
17 35 22
17 36 23
17 37 24
17 38 19
17 39 25
17 40 23
17 41 21
17 42 21
17 43 24
17 44 20
17 45 18
17 46 23
17 47 19
17 48 21
17 49 18
18 19 27
18 20 14
18 21 24
18 22 25
18 23 26
18 24 28
18 25 25
18 26 25
18 27 26
18 28 27
18 29 25
18 30 26
18 31 26
18 32 27
18 33 27
18 34 16
18 35 27
18 36 26
18 37 26
18 38 24
18 39 28
18 40 21
18 41 25
18 42 21
18 43 25
18 44 23
18 45 24
18 46 26
18 47 26
18 48 22
18 49 26
19 20 25
19 21 23
19 22 23
19 23 21
19 24 27
19 25 22
19 26 19
19 27 26
19 28 21
19 29 19
19 30 27
19 31 20
19 32 24
19 33 28
19 34 25
19 35 19
19 36 18
19 37 22
19 38 18
19 39 28
19 40 19
19 41 20
19 42 18
19 43 24
19 44 18
19 45 21
19 46 23
19 47 19
19 48 18
19 49 17
20 21 27
20 22 24
20 23 24
20 24 29
20 25 23
20 26 19
20 27 24
20 28 26
20 29 26
20 30 26
20 31 27
20 32 28
20 33 27
20 34 21
20 35 27
20 36 25
20 37 25
20 38 25
20 39 28
20 40 23
20 41 24
20 42 22
20 43 24
20 44 24
20 45 23
20 46 28
20 47 27
20 48 22
20 49 24
21 22 19
21 23 21
21 24 26
21 25 20
21 26 27
21 27 19
21 28 22
21 29 25
21 30 27
21 31 25
21 32 26
21 33 25
21 34 17
21 35 27
21 36 27
21 37 24
21 38 24
21 39 26
21 40 24
21 41 23
21 42 22
21 43 27
21 44 24
21 45 18
21 46 27
21 47 27
21 48 24
21 49 25
22 23 21
22 24 25
22 25 23
22 26 19
22 27 29
22 28 20
22 29 20
22 30 24
22 31 21
22 32 24
22 33 26
22 34 24
22 35 21
22 36 18
22 37 21
22 38 18
22 39 23
22 40 21
22 41 17
22 42 20
22 43 25
22 44 22
22 45 24
22 46 24
22 47 20
22 48 19
22 49 18
23 24 26
23 25 21
23 26 20
23 27 28
23 28 19
23 29 23
23 30 23
23 31 23
23 32 26
23 33 25
23 34 20
23 35 24
23 36 22
23 37 21
23 38 22
23 39 27
23 40 22
23 41 25
23 42 21
23 43 19
23 44 22
23 45 22
23 46 24
23 47 20
23 48 18
23 49 20
24 25 24
24 26 25
24 27 30
24 28 21
24 29 28
24 30 29
24 31 25
24 32 29
24 33 28
24 34 24
24 35 27
24 36 27
24 37 23
24 38 26
24 39 26
24 40 26
24 41 27
24 42 24
24 43 23
24 44 25
24 45 25
24 46 29
24 47 28
24 48 24
24 49 26
25 26 18
25 27 24
25 28 21
25 29 17
25 30 23
25 31 21
25 32 24
25 33 23
25 34 24
25 35 23
25 36 19
25 37 15
25 38 21
25 39 27
25 40 21
25 41 17
25 42 22
25 43 20
25 44 20
25 45 22
25 46 22
25 47 21
25 48 19
25 49 19
26 27 29
26 28 17
26 29 15
26 30 23
26 31 19
26 32 23
26 33 25
26 34 26
26 35 20
26 36 17
26 37 15
26 38 17
26 39 25
26 40 20
26 41 19
26 42 18
26 43 19
26 44 17
26 45 24
26 46 25
26 47 17
26 48 17
26 49 16
27 28 25
27 29 26
27 30 28
27 31 28
27 32 22
27 33 27
27 34 25
27 35 27
27 36 27
27 37 28
27 38 29
27 39 28
27 40 28
27 41 25
27 42 25
27 43 27
27 44 24
27 45 26
27 46 24
27 47 29
27 48 28
27 49 27
28 29 18
28 30 25
28 31 20
28 32 22
28 33 25
28 34 27
28 35 21
28 36 18
28 37 17
28 38 17
28 39 26
28 40 22
28 41 20
28 42 19
28 43 18
28 44 19
28 45 16
28 46 22
28 47 18
28 48 16
28 49 18
29 30 24
29 31 21
29 32 23
29 33 22
29 34 25
29 35 19
29 36 15
29 37 21
29 38 15
29 39 26
29 40 21
29 41 19
29 42 19
29 43 24
29 44 15
29 45 23
29 46 22
29 47 16
29 48 16
29 49 14
30 31 20
30 32 22
30 33 25
30 34 28
30 35 24
30 36 26
30 37 24
30 38 24
30 39 27
30 40 26
30 41 25
30 42 27
30 43 25
30 44 24
30 45 26
30 46 26
30 47 23
30 48 25
30 49 25
31 32 19
31 33 20
31 34 25
31 35 22
31 36 23
31 37 21
31 38 20
31 39 28
31 40 24
31 41 21
31 42 23
31 43 22
31 44 21
31 45 21
31 46 25
31 47 19
31 48 20
31 49 18
32 33 22
32 34 27
32 35 21
32 36 24
32 37 26
32 38 23
32 39 28
32 40 23
32 41 24
32 42 24
32 43 25
32 44 24
32 45 21
32 46 23
32 47 22
32 48 23
32 49 22
33 34 25
33 35 26
33 36 28
33 37 27
33 38 28
33 39 29
33 40 26
33 41 24
33 42 25
33 43 26
33 44 27
33 45 23
33 46 28
33 47 25
33 48 22
33 49 23
34 35 25
34 36 25
34 37 28
34 38 27
34 39 27
34 40 21
34 41 26
34 42 24
34 43 26
34 44 24
34 45 22
34 46 25
34 47 26
34 48 22
34 49 26
35 36 13
35 37 23
35 38 15
35 39 26
35 40 21
35 41 21
35 42 21
35 43 26
35 44 20
35 45 21
35 46 19
35 47 19
35 48 20
35 49 20
36 37 19
36 38 15
36 39 27
36 40 20
36 41 21
36 42 17
36 43 22
36 44 18
36 45 22
36 46 19
36 47 18
36 48 17
36 49 18
37 38 20
37 39 28
37 40 20
37 41 21
37 42 21
37 43 19
37 44 20
37 45 24
37 46 24
37 47 21
37 48 21
37 49 21
38 39 22
38 40 19
38 41 21
38 42 17
38 43 23
38 44 15
38 45 23
38 46 22
38 47 18
38 48 19
38 49 16
39 40 26
39 41 26
39 42 26
39 43 26
39 44 26
39 45 27
39 46 27
39 47 27
39 48 28
39 49 26
40 41 14
40 42 19
40 43 25
40 44 16
40 45 22
40 46 21
40 47 19
40 48 16
40 49 18
41 42 21
41 43 24
41 44 20
41 45 22
41 46 24
41 47 20
41 48 17
41 49 17
42 43 22
42 44 19
42 45 22
42 46 25
42 47 19
42 48 17
42 49 18
43 44 24
43 45 23
43 46 26
43 47 22
43 48 20
43 49 22
44 45 21
44 46 20
44 47 16
44 48 14
44 49 13
45 46 20
45 47 22
45 48 20
45 49 22
46 47 23
46 48 20
46 49 22
47 48 11
47 49 13
48 49 10
